# %ECSV 0.9
# ---
# datatype:
# -
#   name: id
#   datatype: string
# -
#   name: morph
#   datatype: string
# -
#   name: sigma_e
#   datatype: float32
# -
#   name: mdyn
#   datatype: float32
# -
#   name: col5
#   datatype: float32
# -
#   name: col6
#   datatype: float32
# -
#   name: col7_1
#   datatype: float32
# -
#   name: col8
#   datatype: float32
# -
#   name: col9_1
#   datatype: float32
# -
#   name: col10
#   datatype: float32
# -
#   name: col11_1
#   datatype: float32
# -
#   name: mangaid
#   datatype: string
# -
#   name: mstar_cat
#   datatype: string
# -
#   name: sfr_cat
#   datatype: string
# -
#   name: metallicity
#   datatype: string
# -
#   name: b/a
#   datatype: string
# -
#   name: met_re
#   datatype: string
# -
#   name: col7_2
#   datatype: string
# -
#   name: mstar_sum_re
#   datatype: string
# -
#   name: col9_2
#   datatype: string
# -
#   name: sfr_sum_re
#   datatype: string
# -
#   name: col11_2
#   datatype: string
# -
#   name: col12
#   datatype: string
# -
#   name: col13
#   datatype: string
# -
#   name: col14
#   datatype: string
# -
#   name: col15
#   datatype: string
# -
#   name: col16
#   datatype: string
# -
#   name: col17
#   datatype: string
# -
#   name: col18
#   datatype: string
# meta:
#   Description: 
#   |
#    #########################################################################################################################################
#     This is the online data table for the paper Li et. al (2018)
#     "SDSS-IV MaNGA: Global stellar population and gradients for about 2000 early-type and spiral galaxies on the mass-size plane"
#    
#     Table title: Properties of all the galaxies in the sample of Li et al. (2018)
#    #########################################################################################################################################
#      MaNGA ID  | Morphology | logsigma_e | logM_{1/2} | logR_e | logAge |  [Z/H]  | logM^*/L | Delta logAge | Delta [Z/H] | Delta logM^*/L |
#                |            |    km/s    |    M_sun   |   kpc  |  years |         |          |              |             |
#         (1)    |     (2)    |    (3)     |     (4)    |   (5)  |   (6)  |   (7)   |    (8)   |     (9)      |     (10)    |       (11)     |
#    #########################################################################################################################################
#   Match type: 'Pair match; Best match, symmetric'
#   Match algorithm: Exact Value
#   Join Type: 1 and 2 (An output row for each row represented in both input tables (INNER JOIN))
#   First input table: '6: Table-data.dat'
#   Second input table: '5: full_manga.dat'
id morph sigma_e mdyn col5 col6 col7_1 col8 col9_1 col10 col11_1 mangaid mstar_cat sfr_cat metallicity b/a met_re col7_2 mstar_sum_re col9_2 sfr_sum_re col11_2 col12 col13 col14 col15 col16 col17 col18
12-84620 S 1.6 9.33 0.33 9.24 -0.79 0.33 -0.03 0.2 -0.13 12-84620 9.550277709960938 -0.7263163328170776 8.65464103902391 0.508217 8.656929151373596 9.31865494420022 9.165974640234793 -0.9487702278968153 -0.9976943811848394 0.26142645343803855 0.14212483404454168 9.196937697069284 9.044257393103857 8.651051051051052 8.651051051051052 9.078864097595215 9.84010124206543
12-84665 S 1.77 9.87 0.54 9.09 -0.95 0.25 -0.28 -0.22 -0.05 12-84665 9.759921073913574 -0.21514780819416046 8.585366558364697 0.205749 8.602058969538646 9.537092669609967 9.3293261742347 -0.08709295051462626 -0.6185620703401804 0.77112885845449 0.5060628890657766 9.150919697748071 8.943153202372805 8.645445445445445 8.643343343343343 8.77456283569336 9.857837677001953
12-84670 E 2.32 11.3 0.9 9.77 0.07 0.61 -0.14 0.02 -0.11 12-84670 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 10.605683849543864 10.55158766458611 -9999.0 -9999.0 -9999.0 -9999.0 10.583850209437772 10.529754024480019 -9999.0 -9999.0 -9999.0 -9999.0
12-49536 E 1.57 9.29 0.36 9.53 -0.18 0.38 0.17 -0.09 0.13 12-49536 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 9.02392059261418 8.951046576210812 -9999.0 -9999.0 -9999.0 -9999.0 8.590475923497236 8.517601907093868 -9999.0 -9999.0 -9999.0 -9999.0
12-84660 S 1.73 10.06 0.8 9.29 -0.82 0.44 -0.05 -0.6 0.04 12-84660 10.679913520812988 0.5586167573928833 8.656184027164418 0.15 8.71064529876411 10.50301393785831 10.287556485364645 -0.07100155499910539 0.1387557995932613 1.4815296751336957 1.2151490375961527 10.388287498464653 10.172830045970988 nan nan 8.804615020751953 9.925007820129395
12-84674 S 1.7 10.23 1.06 9.4 -0.57 0.44 -0.05 -0.14 -0.11 12-84674 10.713910102844238 0.31740882992744446 8.713182817157382 0.205749 8.710419998542603 10.564921641714031 9.58375618344298 -0.3148843331331622 -0.6570152137361154 1.2784491920886294 0.43711020156739266 10.53614366429628 9.554978206025227 8.673473473473473 8.672352352352352 9.234333992004395 9.875444412231445
12-84731 S 1.86 10.51 1.05 9.38 -0.66 0.34 -0.1 0.02 -0.23 12-84731 10.003682136535645 -0.19906270503997803 8.68006578006578 0.335333 8.702700638783112 9.833179983590876 9.778956695784279 -0.542386427002 -0.44844030638616866 0.660940295273828 0.602302191793519 9.22158316714351 9.167359879336914 8.79119119119119 8.768817092955025 9.047454833984375 9.595901489257812
12-180432 S 1.97 10.43 0.69 9.14 -0.84 0.34 -0.13 -0.18 -0.17 12-180432 10.583531379699707 0.7439395189285278 8.739771727650513 0.205749 8.788031257063516 10.478418568025436 10.2881366669386 -0.3970877325663391 0.4836496030426275 1.6307906850903073 1.5051472338053309 10.290169802717353 10.099887901630517 nan 8.817617617617618 8.879101753234863 9.814286231994629
12-193534 S 1.57 9.3 0.33 9.09 -0.97 0.07 0.16 0.01 0.05 12-193534 9.31153678894043 -0.8660664558410645 8.556601354440861 0.508217 8.583614940241446 9.016217757063039 8.702391717784337 -1.9954994963987482 -1.3741264166777414 0.1268048654856669 -0.17507581408888662 8.749711942750487 8.435885903471785 8.614614614614615 8.61373873873874 8.716180801391602 9.621463775634766
12-98126 E 1.74 9.63 0.4 9.49 -0.07 0.38 0.08 0.02 0.1 12-98126 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 9.226956908739231 6.917920279601481 -9999.0 -9999.0 -9999.0 -9999.0 9.044710630032894 6.735674000895144 -9999.0 -9999.0 -9999.0 -9999.0
